Run_ID,Experiment,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz,F,source_file,Exp
1_021_B1_4_a,1.0,1,21,1,2,a,4,0.0,12,94.0,93.5,na,1,0.25,350,0.07,0.391,1.855,0.56,2.423,71.4,2.082,49.23,44.46,21.07,69.60049856,Exp1.csv,
1_021_B1_4_a,1.0,1,21,1,2,a,4,0.0,12,94.0,93.5,na,2,0.25,350,0.07,0.359,1.67,0.53,2.229,70.9,1.918,49.23,44.46,21.07,69.60049856,Exp1.csv,
1_021_B1_4_a,1.0,1,21,1,2,a,4,0.0,12,94.0,93.5,na,3,0.25,350,0.07,0.421,1.912,0.634,2.332,71.2,2.062,49.23,44.46,21.07,69.60049856,Exp1.csv,
1_021_B1_4_a,1.0,1,21,1,2,a,4,0.0,12,94.0,93.5,na,4,0.25,350,0.07,0.45,1.961,0.676,2.325,72.8,2.063,49.23,44.46,21.07,69.60049856,Exp1.csv,
1_021_B1_4_a,1.0,1,21,1,2,a,4,0.0,12,94.0,93.5,na,5,0.25,350,0.07,0.36,1.782,0.714,2.636,69.4,1.957,49.23,44.46,21.07,69.60049856,Exp1.csv,
1_021_B1_4_a,1.0,1,21,1,2,a,4,0.0,12,94.0,93.5,na,6,0.25,350,0.07,0.383,1.931,0.58,2.542,67.3,2.039,49.23,44.46,21.07,69.60049856,Exp1.csv,
1_021_B1_5_c,1.0,1,21,1,2,c,5,0.0,12,94.0,93.5,na,1,0.25,350,0.1,0.612,2.451,0.767,2.32,100.9,2.626,65.48,49.71,22.31,85.18480264,Exp1.csv,
1_021_B1_5_c,1.0,1,21,1,2,c,5,0.0,12,94.0,93.5,na,2,0.25,350,0.1,0.621,2.487,0.774,2.361,100.6,2.762,65.48,49.71,22.31,85.18480264,Exp1.csv,
1_021_B1_5_c,1.0,1,21,1,2,c,5,0.0,12,94.0,93.5,na,3,0.25,350,0.1,0.628,2.686,0.799,2.47,100.0,2.9,65.48,49.71,22.31,85.18480264,Exp1.csv,
1_021_B1_5_c,1.0,1,21,1,2,c,5,0.0,12,94.0,93.5,na,4,0.25,350,0.1,0.628,2.517,0.739,2.255,99.4,2.781,65.48,49.71,22.31,85.18480264,Exp1.csv,
1_021_B1_5_c,1.0,1,21,1,2,c,5,0.0,12,94.0,93.5,na,5,0.25,350,0.1,0.724,3.02,0.571,2.148,100.6,3.159,65.48,49.71,22.31,85.18480264,Exp1.csv,
1_021_B1_5_c,1.0,1,21,1,2,c,5,0.0,12,94.0,93.5,na,6,0.25,350,0.1,0.618,2.596,0.865,2.494,101.5,2.759,65.48,49.71,22.31,85.18480264,Exp1.csv,
1_021_B1_8_d,1.0,1,21,1,3,d,8,0.0,12,94.0,93.5,na,1,0.25,390,0.1,0.709,2.629,0.612,1.947,100.0,2.783,65.95,50.85,22.3,86.21145516,Exp1.csv,
1_021_B1_8_d,1.0,1,21,1,3,d,8,0.0,12,94.0,93.5,na,2,0.25,390,0.1,0.692,2.666,0.555,1.966,101.2,2.763,65.95,50.85,22.3,86.21145516,Exp1.csv,
1_021_B1_8_d,1.0,1,21,1,3,d,8,0.0,12,94.0,93.5,na,3,0.25,390,0.1,0.703,2.735,0.6,2.007,100.8,2.947,65.95,50.85,22.3,86.21145516,Exp1.csv,
1_021_B1_8_d,1.0,1,21,1,3,d,8,0.0,12,94.0,93.5,na,4,0.25,390,0.1,0.731,2.795,0.532,1.901,101.5,2.85,65.95,50.85,22.3,86.21145516,Exp1.csv,
